Frecuencia (Hz)	Nivel (dB)
12515,625000	-84,040848
12562,500000	-84,380592
12609,375000	-84,273308
12656,250000	-83,627449
12703,125000	-83,759628
12750,000000	-84,385033
12796,875000	-84,429718
12843,750000	-84,189636
12890,625000	-84,154884
12937,500000	-84,096489
12984,375000	-84,136909
13031,250000	-84,614159
13078,125000	-84,818993
13125,000000	-84,707130
13171,875000	-84,456749
13218,750000	-84,428802
13265,625000	-85,247047
13312,500000	-85,514450
13359,375000	-85,191765
13406,250000	-85,598694
13453,125000	-85,778694
13500,000000	-85,752762
13546,875000	-85,681648
13593,750000	-85,932297
13640,625000	-85,983284
13687,500000	-85,625580
13734,375000	-85,813911
13781,250000	-86,120247
13828,125000	-86,402130
13875,000000	-86,920372
13921,875000	-86,786903
13968,750000	-86,709221
14015,625000	-86,972832
14062,500000	-86,855820
14109,375000	-86,742638
14156,250000	-87,134537
14203,125000	-87,289856
14250,000000	-87,144020
14296,875000	-87,088081
14343,750000	-86,893349
14390,625000	-86,769531
14437,500000	-86,925797
14484,375000	-86,808617
14531,250000	-86,715904
14578,125000	-87,018387
14625,000000	-87,202263
14671,875000	-87,324768
14718,750000	-87,357948
14765,625000	-87,155975
14812,500000	-87,118629
14859,375000	-86,943130
14906,250000	-87,412392
14953,125000	-87,988670
15000,000000	-87,162804
15046,875000	-86,580681
15093,750000	-87,226730
15140,625000	-87,929268
15187,500000	-88,253242
15234,375000	-88,897163
15281,250000	-88,980446
15328,125000	-88,720177
15375,000000	-88,937691
15421,875000	-89,252258
15468,750000	-89,265213
15515,625000	-89,262077
15562,500000	-89,528229
15609,375000	-89,429977
15656,250000	-89,453407
15703,125000	-89,454887
15750,000000	-89,846039
15796,875000	-89,812851
15843,750000	-89,778358
15890,625000	-90,312531
15937,500000	-90,361572
15984,375000	-90,488907
16031,250000	-91,190598
16078,125000	-91,234741
16125,000000	-91,161598
16171,875000	-91,276329
16218,750000	-91,388275
16265,625000	-91,421478
16312,500000	-91,487679
16359,375000	-90,742470
16406,250000	-91,085274
16453,125000	-91,847137
16500,000000	-91,411903
16546,875000	-91,042160
16593,750000	-91,621323
16640,625000	-92,189423
16687,500000	-92,330490
16734,375000	-92,209755
16781,250000	-92,560806
16828,125000	-92,569687
16875,000000	-92,876709
16921,875000	-92,487511
16968,750000	-92,437469
17015,625000	-92,571136
17062,500000	-92,982376
17109,375000	-93,171867
17156,250000	-93,216469
17203,125000	-93,111305
17250,000000	-92,891327
17296,875000	-92,843925
17343,750000	-93,401031
17390,625000	-93,491623
17437,500000	-93,653526
17484,375000	-93,534332
17531,250000	-93,384247
17578,125000	-92,693748
17625,000000	-93,112511
17671,875000	-93,364182
17718,750000	-92,791359
17765,625000	-93,140648
17812,500000	-93,278664
17859,375000	-93,658997
17906,250000	-94,116493
17953,125000	-93,764160
18000,000000	-93,665558
18046,875000	-93,617538
18093,750000	-93,792740
18140,625000	-93,944458
18187,500000	-94,066971
18234,375000	-94,277328
18281,250000	-94,590721
18328,125000	-94,566727
18375,000000	-94,739563
18421,875000	-94,409157
18468,750000	-94,084274
18515,625000	-94,372986
18562,500000	-94,518494
18609,375000	-94,677048
18656,250000	-94,573471
18703,125000	-94,516975
18750,000000	-94,911644
18796,875000	-94,964378
18843,750000	-94,718987
18890,625000	-94,550766
18937,500000	-94,922150
18984,375000	-94,730736
19031,250000	-94,372093
19078,125000	-94,844032
19125,000000	-95,067062
19171,875000	-95,036926
19218,750000	-94,950645
19265,625000	-94,965881
19312,500000	-95,232582
